LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID13889,13889,0,2.0154342651367188,612.48,51.480000000000004,0.0,1080.0,18,10.0,1,,120.73786965259833,118.0,85.0,235.0,420530.0,16.015354448589694,0.08266780635902941,1.1512725240926447
ID12581,12581,0,1.5746383666992188,615.78,42.9,0.0,840.0,14,10.0,1,,120.61211599196095,118.0,82.0,197.0,420092.0,14.862271860100048,0.08361303074295624,1.2523781386343196
ID11270,11270,0,1.44781494140625,616.44,42.24,0.0,780.0,13,10.0,1,,119.84209015216767,117.0,86.0,198.0,417410.0,14.717160598363662,0.08224486032644579,1.2376520824490564
ID11528,11528,0,1.6174468994140625,615.12,47.52,0.0,960.0,16,10.0,1,,119.82515073212748,117.0,84.0,200.0,417351.0,15.306184969910143,0.08126792453841418,1.1767843145247756
ID12843,12843,0,1.8419723510742188,617.76,42.24,0.0,720.0,12,10.0,1,,119.9589434395636,118.0,82.0,206.0,417817.0,15.679874097917823,0.08133288663156897,1.1508714894456034
ID14414,14414,0,1.5073013305664062,618.4200000000001,42.24,0.0,660.0,11,10.0,1,,118.94142980189491,117.0,82.0,194.0,414273.0,14.346216048120949,0.07803559290389137,1.2002878727599853
ID10222,10222,0,1.82855224609375,611.1600000000001,51.480000000000004,0.0,1140.0,19,10.0,1,,120.32759115704852,118.0,83.0,234.0,419101.0,15.884610646668971,0.07994074680257295,1.12146808173588
ID13106,13106,0,1.490997314453125,621.0600000000001,42.24,0.0,600.0,10,10.0,1,,119.03158196956646,117.0,80.0,207.0,414587.0,14.820276231857273,0.07839384163801973,1.167724657978099
ID10485,10485,0,1.8533554077148438,615.78,43.56,0.0,900.0,15,10.0,1,,121.13953488372093,119.0,82.0,191.0,421929.0,15.256190408868346,0.08765881745069029,1.2798902177331504
ID18199,18199,0,1.3991622924804688,606.5400000000001,51.480000000000004,0.0,1320.0,22,10.0,1,,119.62819408555842,117.0,83.0,217.0,416665.0,14.81458747681533,0.0772945537943238,1.1587464315546998
ID15995,15995,0,1.3729705810546875,608.52,52.14,0.0,1260.0,21,10.0,1,,119.91817398794143,118.0,85.0,236.0,417675.0,15.423000640641304,0.07699778300845071,1.111756141664801
ID15452,15452,0,1.81597900390625,609.84,51.480000000000004,0.0,1200.0,20,10.0,1,,120.30979041056561,118.0,82.0,199.0,419039.0,15.648500580058048,0.08072316290628731,1.1485289485297414
ID12062,12062,0,1.8294830322265625,613.8000000000001,50.160000000000004,0.0,1020.0,17,10.0,1,,120.5813953488372,118.0,84.0,244.0,419985.0,15.551896357165672,0.0815692235107699,1.1694965765831622
ID10753,10753,1,4.4122467041015625,628.98,63.36,0.0,360.0,6,10.0,1,,125.98219925351708,119.0,82.0,460.0,438796.0,30.75358744643149,0.08747183924138979,0.6590124753288682
ID13891,13891,1,4.7269744873046875,628.98,65.34,0.0,1080.0,18,10.0,1,,127.97444731553259,120.0,83.0,391.0,445735.0,31.838237777585046,0.08939198770552986,0.6596577269411888
ID17923,17923,1,4.405029296875,628.32,65.34,0.0,1680.0,28,10.0,1,,127.0623026126902,119.0,79.0,423.0,442558.0,31.909602178360572,0.08605592221539687,0.6310356600948075
ID16261,16261,1,4.14556884765625,628.32,65.34,0.0,1560.0,26,10.0,1,,126.73097904105656,120.0,85.0,434.0,441404.0,30.843385896798512,0.08397720354319844,0.6366371792586462
ID11271,11271,1,4.5053863525390625,628.32,63.36,0.0,780.0,13,10.0,1,,125.95348837209302,118.0,85.0,415.0,438696.0,31.03910035807349,0.08641236566606646,0.6455238092498811
ID11017,11017,1,4.6932220458984375,628.98,63.36,0.0,60.0,1,10.0,1,,126.14470284237726,119.0,82.0,416.0,439362.0,30.752168776889903,0.08927711819226637,0.6723958843057363
ID11530,11530,1,4.3793792724609375,628.98,64.68,0.0,960.0,16,10.0,1,,126.13752512202124,119.0,86.0,422.0,439337.0,30.27340059984947,0.08395972016493033,0.6454623751843832
ID14415,14415,1,4.4631195068359375,628.32,63.36,0.0,660.0,11,10.0,1,,126.06775768016078,119.0,83.0,398.0,439094.0,30.374892937446983,0.08608369773143056,0.6579257542728691
ID14159,14159,1,4.5625,628.32,63.36,0.0,480.0,8,10.0,1,,126.13321848980763,118.0,84.0,442.0,439322.0,31.260923130002123,0.08672881073746236,0.6440207865279399
ID17362,17362,1,3.8957061767578125,628.32,65.34,0.0,1800.0,30,10.0,1,,126.45765144989952,119.0,84.0,396.0,440452.0,29.755940542762172,0.08341742084269993,0.6544287475943225
ID14677,14677,1,4.5374908447265625,628.32,64.02,0.0,300.0,5,10.0,1,,127.15015790984783,120.0,84.0,450.0,442864.0,29.528296514768506,0.08930302548381805,0.70603457444662
ID18200,18200,1,4.824432373046875,628.32,64.68,0.0,1320.0,22,10.0,1,,127.6442721791559,119.0,82.0,481.0,444585.0,33.34997204826904,0.08946043955901638,0.6285725563703716
ID14936,14936,1,4.1412506103515625,628.98,64.02,0.0,180.0,3,10.0,1,,126.00660350272753,119.0,84.0,420.0,438881.0,29.265951816120115,0.08534095379460727,0.6770986522261563
ID15193,15193,1,4.3188934326171875,628.98,63.36,0.0,420.0,7,10.0,1,,126.39506172839506,120.0,82.0,426.0,440234.0,30.1416548197561,0.08683703311582175,0.6700906507706423
